,code,n_k_d,time_steps,error_model,decoder,error_probability,measurement_error_probability,n_run,n_success,n_fail,n_logical_commutations,custom_totals,error_weight_total,error_weight_pvar,logical_failure_rate,physical_error_rate,wall_time,n,k,d,bias,decoder_chi
1,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,983,17,8,,109531,86.365039,0.017,0.24836961451247166,1165.2300047911704,441,1,21,100.0,12.0
0,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,980,20,11,,182775,133.350375,0.02,0.2507201646090535,2222.112296048552,729,1,27,100.0,12.0
1,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,980,20,9,,182775,133.350375,0.02,0.2507201646090535,2222.112296048552,729,1,27,100.0,12.0
0,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,989,11,8,,272518,201.461676,0.011,0.2502460973370064,3634.616436727345,1089,1,33,100.0,12.0
1,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,989,11,3,,272518,201.461676,0.011,0.2502460973370064,3634.616436727345,1089,1,33,100.0,12.0
0,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,992,8,6,,380041,290.161319,0.008,0.24986259040105194,5460.6529195047915,1521,1,39,100.0,12.0
1,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,992,8,2,,380041,290.161319,0.008,0.24986259040105194,5460.6529195047915,1521,1,39,100.0,12.0
0,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,978,22,21,,56221,40.432159,0.022,0.2498711111111111,451.81036223843694,225,1,15,1000.0,12.0
1,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,978,22,1,,56221,40.432159,0.022,0.2498711111111111,451.81036223843694,225,1,15,1000.0,12.0
0,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,995,5,5,,110596,88.704784,0.005,0.2507845804988662,1177.6386850476265,441,1,21,1000.0,12.0
1,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,995,5,0,,110596,88.704784,0.005,0.2507845804988662,1177.6386850476265,441,1,21,1000.0,12.0
0,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,996,4,4,,182303,147.443191,0.004,0.2500727023319616,2242.8419017829,729,1,27,1000.0,12.0
1,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,996,4,0,,182303,147.443191,0.004,0.2500727023319616,2242.8419017829,729,1,27,1000.0,12.0
0,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,997,3,2,,272721,206.379159,0.003,0.2504325068870523,3663.2032118476927,1089,1,33,1000.0,12.0
1,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,997,3,1,,272721,206.379159,0.003,0.2504325068870523,3663.2032118476927,1089,1,33,1000.0,12.0
0,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,1000,0,0,,380516,260.071744,0.0,0.2501748849441157,5467.9307147450745,1521,1,39,1000.0,12.0
1,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,1000,0,0,,380516,260.071744,0.0,0.2501748849441157,5467.9307147450745,1521,1,39,1000.0,12.0
0,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3272,228,154,,197232,41.32238171428571,0.06514285714285714,0.25045333333333336,1488.1359443739057,225,1,15,50.0,12.0
1,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3272,228,79,,197232,41.32238171428571,0.06514285714285714,0.25045333333333336,1488.1359443739057,225,1,15,50.0,12.0
0,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3365,135,78,,385792,81.67793763265306,0.03857142857142857,0.24994622610949144,3921.9427470490336,441,1,21,50.0,12.0
1,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3365,135,58,,385792,81.67793763265306,0.03857142857142857,0.24994622610949144,3921.9427470490336,441,1,21,50.0,12.0
0,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3405,95,47,,637638,137.31020048979593,0.027142857142857142,0.24990711346266903,7522.649129666388,729,1,27,50.0,12.0
